Negation type	Category	Sentence
not	Negation of attitude	a group of people not wanting to take a picture .
no	Salient absence	there are two women wearing two piece bathing suits and a man wearing no shirt are in the middle of dome tents .
no	Salient absence	a man wearing no shirt stands on a stage with fire in the background .
no	Salient absence	a man with medium length hair , wearing a red beanie and blue shorts with no shirt , on one knee at the beach , sculpting a sand castle with a trough .
miss	Not a description/Meta	images are missing images are missing images are missing images are missing images are missing images are missing
without	Salient absence	a man without a shirt performs rollerblading tricks on a course .
no	Quotes and idioms	woman in a black dress walking passed a no parking zone .
no	Salient absence	a man wearing no shirt skateboarding on the street
no	Salient absence	the man , with no shirt , reaches into a bucket to extract the substance inside .
miss	Negation of action/behavior	a softball player swinging at a softball and missing it .
no	Salient absence	a man with no hair is singing .
n't	Other	there is n't a lot of action just a guy at a hotdog stand on normal day .
no	Other	a woman with scarves in her head sits with 3 others staring at the camera with no expression .
no	Salient absence	a woman in a blue shirt with no bra .
not	Salient absence	two men that are not wearing shirts look down from ledges on the side of a gray structure .
no	Other	a man with a bowtie looks at the camera with no expression .
not	Negation of attitude	a woman on a bus that does not look very happy and the bus seems crowded .
n't	Salient absence	there are two men , one wearing a shirt , one is n't , both wearing red pants and holding onto a ladder with both arms and their legs extended out into the air .
no	Salient absence	a motorcyclist speeds down a racing course , with no other riders in sight .
miss	Negation of action/behavior	a cricket player swings his bat , but misses .
nothing	Salient absence	an adult surrounded with nothing but sand leaping into the air .
without	Salient absence	a boy without a shirt is running in the street while several people stand behind him .
no	Negation of attitude	a brown dog pays no attention to a young woman dressed in black passing nearby .
not	Negation of attitude	the lady is watching something she does not like .
no	Salient absence	a man with no shirt standing on a scaffolding .
not	Outside the frame	a man with glasses sitting at a restaurant staring at something that is not shown .
without	Salient absence	two men without shirts on working on a roof of a building that has been damaged .
not	Salient absence	a man wearing a skirt talks to a man who is not wearing a shirt as people walk by , both in the street and on a sidewalk .
no	Salient absence	a little asian girl standing in the mud with no shoes and holding a red umbrella .
without	Salient absence	three teenagers , two without shoes having a water gun fight with various types of guns trying to spray each other .
not	Negation of property	a toddler sucks his finger while he sits in a stroller ; the stroller is indoors and the safety harness is not fastened .
no	Salient absence	man wearing no pants pulling a cart down the street .
without	Salient absence	a man in blue shorts without a shirt with a fit body running while listening to his ipod .
not	Other	a man standing on a boat full of people hands a child over to a man that is not on the boat .
no	Quotes and idioms	"a young person in a hat is coming through an entrance labeled "" no fumar "" ( no smoking ) ."
miss	Salient absence	women swinging very high with a missing shoe .
no	Salient absence	no male construction workers in a work area in a city .
no	Salient absence	three young men on a boat with no life jackets .
no	Quotes and idioms	a man is walking by a pole with a no pets sign .
not	Outside the frame	a young oriental girl receives help on a science project from an adult , not completely seen in the image .
no	Quotes and idioms	"a girl with a tattoo on her wrist that reads "" no regrets "" has her hand outstretched ."
not	Other	a woman in a yellow shirts walks through a park with her dog not far behind .
no	Salient absence	a woman with long hair wearing a red jacket , orange pants and brown boots holds one hand high in the air as she bends over with one leg extended further than the other with no discernible floor under her feet .
no	Salient absence	a man wearing no shirt is lifting a shovel by a wheelbarrow as he works outside .
no	Negation of attitude	an elderly looking man in europe is standing on top of a garbage can near the crosswalk as passersby take no notice .
no	Salient absence	a french bike cab with no passengers , sitting by a crosswalk .
no	Salient absence	a guy in an orange shirt with no sleeves is in a marathon with a black-haired lady next to him .
without	Salient absence	the lady watches the man without a shirt .
not	Other	three people with backpacks walk up a road in a forest , not far behind one white and one black dog .
no	Salient absence	a man wearing a blue jacket fishing in a river having a conversation with his friend with no shirt .
without	Salient absence	two men without shirts standing on a dilapidated roof talking to each other looking over a town .
not	Not a description/Meta	a woman does not waste the nice day by reading on the beach .
not	Other	a woman wearing black leggings and a black tank top is running in a race while bicyclists follow not far behind .
no	Not a description/Meta	the dog with all the comforts of home and yet still has no home .
not	Negation of attitude	a man and women are holding hands and dancing with many people in the background but they are not paying attention to them .
no	(Preventing) future events	they are here to ensure no one crosses the barriers .
no	Salient absence	a man walks down the road leading a cow with no rider and another cow with a rider .
no	Quotes and idioms	"a man is standing in the doorway of a building containing a garage door painted with "" no parking . """
no	Quotes and idioms	three people on skis are standing behind a no skiing sign .
no	Salient absence	young boy with no shirt on working at a loom .
no	Salient absence	the boy who is walking is wearing gray shorts and no shirt .
no	Salient absence	little boy in red pants , no shirt , picking his teeth .
no	Salient absence	a man with no shirt on is performing with a baton .
miss	Negation of action/behavior	a male tennis player , wearing a white headband , misses an in-bounds ball .
no	Salient absence	a guy with no shoes trying to get on his bike .
no	Quotes and idioms	"a group of people standing next to a "" no truck 's "" sign and a yellow street sign ."
without	Salient absence	the man without a shirt is sitting on a rock by a tree .
not	Quotes and idioms	"a boy climbing next to a "" do not climb "" sign ."
n't	Quotes and idioms	why , if it is n't bilbo baggins , playing the accordion .
not	Other	a lady thinking that she should not have bought such a hideous purse .
nothing	Not a description/Meta	unexisting upon a field of nothing .
without	Salient absence	a lot of guys standing around talking without their shirts on .
not	Negation of property	park ranger dave cites a car for not having a license plate in the proper place .
without	Salient absence	here are ten people skating and one guy without a shirt dancing on concrete in a tree-lined park .
no	Other	a family with no home trying to make some type of shelter from sticks and tree limbs in a wooded area .
not	Other	the train is sitting at the train station with not too many passengers around .
without	Salient absence	three boys without shirts sit on concrete steps next to water .
miss	Negation of action/behavior	the cricket player just misses catching the ball .
no	Salient absence	a young woman wearing a short black and white skirt and no shoes , carrying a toddler wearing a red outfit and a hat while walking into deeper water from the shallow water on a beach .
no	Salient absence	a boy wearing black pants and no shirt plays with a white balloon .
n't	Not a description/Meta	what is this i do n't even .
nowhere	Quotes and idioms	strolling down path to nowhere .
no	Salient absence	a man with no shirt and a robot head runs in a race .
miss	Negation of action/behavior	an umpire and a catcher diligently wait for the batter 's next missed ball .
no	Salient absence	a dog with no tail runs in the dirt .
no	Salient absence	a young black man sits in a unfinished brick and mortar building , the large window to his left has no glass , it is daytime and the sun drenches the room , he sits at simple bench and desk holding two blue pens and reading from one of the two note books that lay on the desk , he wears a yellow polo and lights blue shorts .
no	Negation of action/behavior	a boy is riding a bicycle with no hands near a group of people .
no	Salient absence	a man with no shirt and wearing sunglasses is holding a football .
not	Outside the frame	a small to medium sized white short-haired dog is looking up at an owner not in the photo .
not	Salient absence	a man in a penguin suit runs with a man , not in a penguin suit .
no	Salient absence	a beach scene with three boys in swim shorts each holding paddle ball racquets but no ball in sight .
no	Salient absence	a man wearing no shirt is sitting outside a barn on a rock
no	Salient absence	man with no shirt on climbing rocks
no	Salient absence	a boy with no shirt is doing a trick on a skateboard .
without	Salient absence	this is a man without a shirt jumping on a trampoline .
without	Salient absence	two men without shirt are standing on a grassy area next to a boy with his bicycle .
without	Salient absence	a young man without a shirt is wiping something
not	Other	this man is looking at shirts in a store where the language is not english .
no	Salient absence	a man with a beard wearing no shirt fixes a bike .
no	Salient absence	a man with a cigarette in his mouth , with no shirt , wearing shorts .
no	Salient absence	a person with hat , long shirt , and jeans is standing in a stand of trees with no underbrush , bent over and examining the base of a tree , while a footpath crosses the bottom of the image .
no	Quotes and idioms	a young girl 's hand with blue nail polish and a tattoo that says ' no regrets ' in cursive lettering is clenched in a loose fist in front of a black and white zippered handbag .
no	Salient absence	a man with no shirt on is holding a football .
not	Not a description/Meta	three men are working on some kind of equipment , but i 'm not sure whether it 's a ship or an oil rig .
without	Salient absence	a troupe of three , one with a cello and one with a violin , perform in a room without a stage .
not	Other	new sport is being played to show appreciation to the kids who can not walk .
without	Salient absence	a man without a helmet is riding a red bike .
no	Salient absence	two young boys with no shirt on , wearing shorts , and blue crocs on a rock .
not	Negation of property	several people in white clothes and red handkerchiefs , and one man who is not dressed like the others , congregate in a wide alley .
without	Salient absence	a man without shirt is working with woods .
not	Salient absence	a dance troupe of twelve people spotlighted and wearing black shirts , pants , and fedora hats holding canes above their heads being lead by another dancer dressed all in white and not wearing a fedora .
not	Outside the frame	several people sitting in front of a building taking pictures of a landmark not seen .
no	Salient absence	a little girl in cuffed jeans , a long-sleeve pink shirt and no shoes is sleeping on the sofa .
no	Salient absence	toddler boy with no shoes and pacifier has handheld .
miss	Negation of action/behavior	a brown dog is trying to catch a flying disk but missed it .
no	Salient absence	a boy wearing a helmet and no shirt , in the air on a bike .
lack	False positive	a woman is walking on a rope by a lack as the sun sets .
n't	Negation of attitude	these two men playing soccer show they are n't afraid to get a little dirty in the name of sports .
no	Salient absence	kids are playing on a swing set as a man with no shirt on walks by .
no	Salient absence	a man is wearing a blue shirt , with no shoes trying to workout .
without	Salient absence	a man in a blue cap with a blue sweatshirt is talking on a microphone while a man without a shirt smiles .
not	Negation of attitude	a lady is not too amused at this guy trying to get her attention .
not	Negation of action/behavior	a woman is staring outside to a man in a gray jacket not looking back at her .
miss	Salient absence	a native american person with missing teeth , a red hat and a red wrap or blanket , is smiling .
not	Negation of attitude	a middle-aged man with a backpack playfully pretends to box with younger child who does not look phased .
nobody	Salient absence	a chinese man is pushing a wheelchair with nobody in it on a busy chinese street .
without	Salient absence	two african american women without helmets are riding on a scooter , the passenger is waving to the camera .
nothing	Not a description/Meta	there 's nothing in the world like taking my kids out play and being a good dad .
not	Other	a young asian girl is wearing a pink dress and holding an umbrella even though it is not raining .
without	Salient absence	a man without a shirt plays drums .
no	Salient absence	a white woman in a green shirt talking to a child with no shirt on .
miss	Negation of action/behavior	a girl closes her eyes as she swings the bat and misses the softball .
not	Salient absence	baby not wearing any clothing eating a meal on a green tray outside .
n't	Outside the frame	a man is taking a picture of something you ca n't see off to the right .
without	Salient absence	a snowboarder rides down a handrail without snow .
no	Salient absence	a man with no shirt holding a baby aloft .
